date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:07	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-50feec996f3111d7;gz%22	https://blogzine.webestica.com/robots.txt		(from )
13:53:07	72553/72553	---M-Z	200	added ('OK')	text/html	etag:%2211b69-664dbb1c-c175ff171341bd7e;gz%22	https://blogzine.webestica.com/	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/index.html	(from )
13:53:08	101582/101582	---M-Z	200	added ('OK')	image/x-icon	etag:%2218cce-63e22cf6-9c28ca0a422f1654;gz%22	https://blogzine.webestica.com/assets/images/favicon.ico	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/images/favicon.ico	(from https://blogzine.webestica.com/)
13:53:08	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-664dbb58-6bfefb52895a0f47;gz%22	https://blogzine.webestica.com/assets/vendor/font-awesome/css/all.min.css	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/vendor/font-awesome/css/all.min.css	(from https://blogzine.webestica.com/)
13:53:08	98255/98255	---M-Z	200	added ('OK')	text/css	etag:%2217fcf-664dbb31-9ee3434179796d18;gz%22	https://blogzine.webestica.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://blogzine.webestica.com/)
13:53:09	2123/2123	---M-Z	200	added ('OK')	text/css	etag:%2284b-664dbb3f-6410f2de357cc11d;gz%22	https://blogzine.webestica.com/assets/vendor/tiny-slider/tiny-slider.css	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/vendor/tiny-slider/tiny-slider.css	(from https://blogzine.webestica.com/)
13:53:09	34542/34542	---M-Z	200	added ('OK')	text/css	etag:%2286ee-664dbb3c-c5bab4b1f0c34f04;gz%22	https://blogzine.webestica.com/assets/vendor/plyr/plyr.css	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/vendor/plyr/plyr.css	(from https://blogzine.webestica.com/)
13:53:10	4048/4048	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fd0-63e22cf8-7caa3985da787be7;gz%22	https://blogzine.webestica.com/assets/images/logo.svg	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/images/logo.svg	(from https://blogzine.webestica.com/)
13:53:10	412200/412200	---M-Z	200	added ('OK')	text/css	etag:%2264a28-664dbb94-37941b7a9b447e19;gz%22	https://blogzine.webestica.com/assets/css/style.css	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/css/style.css	(from https://blogzine.webestica.com/)
13:53:12	4045/4045	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fcd-63e22cf8-4c385bfde0258e52;gz%22	https://blogzine.webestica.com/assets/images/logo-light.svg	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/assets/images/logo-light.svg	(from https://blogzine.webestica.com/)
13:53:12	72553/72553	---M-Z	200	added ('OK')	text/html	etag:%2211b69-664dbb1c-c175ff171341bd7e;gz%22	https://blogzine.webestica.com/index.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/index-2.html	(from https://blogzine.webestica.com/)
13:53:13	35382/35382	---M-Z	200	added ('OK')	text/html	etag:%228a36-664dbb14-df5976123e7d6d00;gz%22	https://blogzine.webestica.com/about-us.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/about-us.html	(from https://blogzine.webestica.com/)
13:53:13	43499/43499	---M-Z	200	added ('OK')	text/html	etag:%22a9eb-664dbb23-aa02d107f39cb9b2;gz%22	https://blogzine.webestica.com/post-grid.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/post-grid.html	(from https://blogzine.webestica.com/)
13:53:13	30629/30629	---M-Z	200	added ('OK')	text/html	etag:%2277a5-664dbb16-5c9c97ad14d2f36;gz%22	https://blogzine.webestica.com/contact-us.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/contact-us.html	(from https://blogzine.webestica.com/)
13:53:14	28433/28433	---M-Z	200	added ('OK')	text/html	etag:%226f11-664dbb13-9f55a0258bdd00c1;gz%22	https://blogzine.webestica.com/signin.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/signin.html	(from https://blogzine.webestica.com/)
13:53:14	72998/72998	---M-Z	200	added ('OK')	text/html	etag:%2211d26-664dbb21-e493277089b8fd31;gz%22	https://blogzine.webestica.com/index-lazy.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/index-lazy.html	(from https://blogzine.webestica.com/)
13:53:15	70838/70838	---M-Z	200	added ('OK')	text/html	etag:%22114b6-664dbb1c-65624905d0879f9b;gz%22	https://blogzine.webestica.com/index-2.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/index-3.html	(from https://blogzine.webestica.com/)
13:53:15	103810/103810	---M-Z	200	added ('OK')	text/html	etag:%2219582-664dbb1d-614a1f1b0be0baf3;gz%22	https://blogzine.webestica.com/index-3.html	C:/Users/User/Downloads/TW-blog/blogzine.webestica.com/index-4.html	(from https://blogzine.webestica.com/)
